カテゴリ,レベル,素材名,必要条件種別,必要値,推定取得数,想定
戦闘,100,ガルガンチュアの粗皮,必要IL,670,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,99,ゴンフォテリウムの粗皮,必要IL,658,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,98,アックスビークの翼膜,必要IL,655,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,97,ノパルテンダーのトゥナ,必要IL,652,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,96,ロネークの獣毛,必要IL,649,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,96,ロネークの肩肉,必要IL,649,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,95,タンブルクラブの枯草,必要IL,646,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,94,チャイチャの刃爪,必要IL,643,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,94,ブラーシャの粗皮,必要IL,643,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,94,ブランチベアラーの果実,必要IL,643,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,93,スワンプモンクのモモ肉,必要IL,640,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,92,レッサーアポリオンの甲殻,必要IL,635,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,92,ハンマーヘッドダイルの粗皮,必要IL,635,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,91,ポイズンフロッグの粘液,必要IL,630,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,91,メガマゲイの球茎,必要IL,630,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,90,シルバリオの粗皮,必要IL,620,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
戦闘,90,アルパカのフィレ肉,必要IL,620,15,リテイナーLv100・最終装備相当ILで最大取得数想定。
採掘,100,黒鉄鉱,必要獲得力,3277,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,99,ホワイトゴールド鉱,必要獲得力,3238,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,98,ブラックスター原石,必要獲得力,3198,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,97,マグネシア粉,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,97,ゴールドチタン鉱,必要獲得力,3159,30,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,96,ヤクテル天然水,必要獲得力,3119,40,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,96,ピンクベリル原石,必要獲得力,3119,40,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
採掘,95,コバルトタングステン鉱,必要獲得力,3079,50,リテイナーLv100・7.x最終装備＋ゆる禁断（技術力/Perception 約5200前後）想定の単一推定値。
